鬓发各已苍	dnta
鬓丝生几缕	dxtx
鬓云松	dfsw
兵残楚帐夜闻歌	rgss
兵车行	rltf
并蒂芙蓉	uaaa
兵法修列	riwg
兵革非不坚利也	radb
兵革既未息	ravt
秉国之钧	tlpq
冰肌玉骨清无汗	uegi
禀君子	yvbb
屏气似不息者	nrwf
冰轻叶未凋	ulku
兵刃既接	rvvr
冰山滴	umiu
病身坚固道情深	utji
病身最觉风露早	utjj
冰霜昨夜除	ufjb
并添高阁迥	uiym
并吞八荒之心	ugwn
兵卫森画戟	rbsf
病为兀兀安身物	uygt
冰崖转石万壑雷	umlf
兵者不祥之器	rfgk
并作南楼一味凉	uwfu
拨不断	rgon
薄乎云尔	atfq
薄宦梗犹泛	apsi
薄酒可与忘忧	aisn
波澜动远空	iifp
波澜誓不起	iirf
波澜相背惊	iisn
薄命女	awvv
薄暮空潭曲	aapm
薄暮渔樵乘水入	aait
伯牛有疾	wrdu
勃如战色	fvhq
波上马嘶看棹去	ihcf
伯氏吹埙	wqkf
薄苇纫如丝	aaxx
薄污我私	aitt
伯兮	wrwg
博学而无所成名	fidq
博学于文	figy
薄言采之	ayep
薄言掇之	ayrp
薄言捋之	ayrp
薄言有之	aydp
伯也执殳	wbrm
伯夷叔齐	wghy
伯禹亦不如	wtyv
泊岳阳城下	irbg
搏之不得	rpgt
伯仲之间见伊吕	wwpk
泊舟微径度深松	itts
不爱红装爱武装	gexu
不把双眉斗画长	grct
不保社稷	gwpt
不保四海	gwli
不保四体	gwlw
不必取长途	gnbw
不必问君平	gnug
不辩牛马	gurc
不辨仙源何处寻	guwv
不薄今人爱古人	gaww
步步娇	hhvt
不采而佩	gedw
不才明主弃	gfjy
不惭世上英	gnaa
步蟾宫	hjpk
不撤姜食	gruw
不称其服	gtae
不成人之恶	gdwg
不耻相师	gbsj
不愁明月尽	gtjn
步出城东门	hbfu
步出东斋读	hbay
不出三日	gbdj
不出三十年	gbdr
不辞山路远	gtmf
不待作年芳	gtwa
不到长城非好汉	ggti
不道引而寿	guxd
不道早已	gujn
不道之道	gupu
不得便相许	gtwy
不得春风花不开	gtdg
不得到辽西	gtgs
不得顾采薇	gtda
不得乎亲	gttu
不得其酱	gtau
不得其死然	gtaq
不得其所	gtar
不得收骨肉	gtnm
不得通其道	gtcu
不得吾心	gtgn
不得已而用之	gtnp
不得已也	gtnb
不得与之言	gtgy
不得志独行其道	gtfu
不得中行而与之	gtkp
卜尔	hhqi
不二法门无别路	gfik
不犯此	gqhx
不妨长作岭南人	gvtw
不分贫富	gwwp
不复东西征	gtat
不复理残机	gtgs
不复挺者	gtrf
不抚壮而弃秽兮	gruw
不改清阴待我归	gnij
不敢暴虎	gnjh
不敢不告也	gngb
不敢告劳	gnta
不敢过临洮	gnfi
不敢恨长沙	gnni
不敢请耳	gnyb
不敢为天下先	gnyt
不敢言而敢怒	gnyv
不敢倚先贤	gnwj
不敢饮食	gnqw
不共楚王言	gasy
不管风吹浪打	gtmr
不关情处总伤心	gunn
不贵难得之货	gkcw
不贵其师	gkaj
不过满腹	gfie
不过数仞而下	gfog
不过一枝	gfgs
不耗复不盈	gdte
不恒其德	gnat
步花间	hauj
不患莫己知	gkat
不患贫而患不安	gkwp
不患人之不己知	gkwt
不患无位	gkfw
不记归时节	gyja
不霁何虹	gfwj
不及卢家有莫愁	geht
不及石尤风	gedm
不稼不穑	gtgt
不嫁义郎体	gvyw
不见而明	gmdj
不见复关	gmtu
不见高人王右丞	gmyb
不见居人只见城	gmnf
不见君	gmvt
不见李生久	gmsq
不见其身	gmat
不见前年秋月朗	gmuy
不见水端	gmiu
不见一人来	gmgg
不见有人还	gmdg
不见诸侯	gmyw
不见子充	gmby
不见子都	gmbf
不教而杀谓之虐	gfdh
不教胡马渡阴山	gfdm
不戒视成谓之暴	gapj
不矜名节	gcqa
不近人情焉	grwg
不久当归还	gqig
不久当还归	gqij
不久望君来	gqyg
不居其薄	gnaa
不居其华	gnaw
不据山河据平地	grmf
不拘于时	grgj
不觉碧山暮	giga
不觉成长叹	gidk
不觉前贤畏后生	giut
不绝如缕	gxvx
不觉已鸣鸦	gina
不觉犹歌起夜来	giqg
不骏其德	gcat
不开悟	ggng
不堪持寄君	gfrv
不堪吏人妇	gfgv
不堪母驱使	gfxw
不堪人事日萧条	gfwt
不堪盈手赠	gfem
不可不察也	gsgb
不可不畏	gsgl
不可不语	gsgy
不可不知也	gsgb
不可长保	gstw
不可道也	gsub
不可得而	gstd
不可得而疏	gstn
不可得而闻也	gstb
不可得也	gstb
不可得矣	gstc
